,FRA,GER,ESP,ENG,BEL,ITA,POR,CRO,AUT,POL,SUI,RUS,WAL,TUR,UKR,CZE,ISL,SWE,IRL,SVK,ROU,HUN,NIR,ALB
bwin,4.33,4.3,6.5,9,12,15,21,26,34,51,67,67,67,81,101,81,81,101,151,151,151,251,301,501
10Bet,4.2,4.2,6,9,11,18,21,36,41,51,66,71,71,81,81,81,101,101,121,101,80,101,134,501
32Red,4.3,4.3,6.5,9.5,11,18,23,34,34,51,71,76,81,81,81,101,91,101,151,151,251,401,501,501
Bet365,4.33,4.33,6.5,9.5,12,17,21,34,41,51,67,67,67,81,81,81,101,101,151,151,176,351,351,501
Betfred,4,4.33,6.5,10,11,17,21,29,41,51,67,67,81,81,101,101,101,101,126,151,126,251,501,501
BetVictor,4,4.33,6.5,9,11,17,21,34,41,51,67,67,67,81,101,101,101,101,151,151,201,351,351,501
Boylesports,4.33,4.33,7,11,10,15,19,29,51,51,67,67,51,81,67,67,67,67,81,101,101,151,301,301
ComeOn,4.2,4.2,6,9,11,18,21,36,23,51,66,71,71,81,81,81,101,101,121,101,80,101,134,101
Coral,3.75,5,5.5,9.5,12,19,23,23,41,51,51,41,81,81,51,126,126,67,126,151,201,301,301,251
Gentingbet,4,4.5,6.5,9,11,17,21,29,34,41,51,51,67,81,126,81,151,101,151,151,201,251,501,501
Ladbrokes,4.33,4.5,6.5,9.5,11,17,17,29,34,51,51,41,81,67,81,101,81,101,151,151,151,251,301,251
Marathonbet.co.uk,4,4,6.5,9,12,15,21,34,34,51,51,51,61,81,81,101,61,81,126,151,126,251,501,401
PaddyPower,4.5,4.5,6.5,9,12,17,15,26,41,41,51,41,81,81,101,126,101,101,101,151,151,401,501,501
Spreadex,4,4.5,6,9.5,11,17,23,23,51,41,41,67,81,101,101,101,101,81,201,201,201,301,301,401
StanJames,4,4.33,6.5,10,11,17,21,21,34,51,67,67,81,81,101,81,81,101,151,101,251,351,501,501
totesport,4,4.33,6.5,10,11,17,21,29,41,51,67,67,81,81,101,101,101,101,126,151,126,251,501,501
Unibet,4.3,4.3,6.5,9.5,11,18,23,34,34,51,71,76,81,81,81,101,91,101,151,151,251,401,501,501
WilliamHill,4,4.5,6.5,9,12,17,21,26,34,51,51,67,67,67,101,67,81,101,101,151,151,251,251,301
youwin,3.75,4.5,6,9,11,17,23,34,34,51,67,67,67,81,101,101,101,101,126,151,151,351,401,501
