ICD10;GENDER;AGE_GROUP;TERYT4;region;subregion;year;Stage1;Stage2;Stage3;Stage4;new
C50_D05;K;<0-44>;201;2;1;2010;0,2;0,4;0,4;0;1
C50_D05;K;<0-44>;201;2;1;2010;0,4;0,8;0,8;0;2
C50_D05;K;<0-44>;201;2;1;2011;0,5;0,85;0,65;0;2
C50_D05;K;<0-44>;201;2;1;2011;0;0;0;1;1
C50_D05;K;<0-44>;201;2;1;2012;1,6;0,9;1,5;0;4
C50_D05;K;<0-44>;201;2;1;2012;0,2;1,35;0,45;0;2
C50_D05;K;<0-44>;201;2;1;2012;0,3;1,45;0,25;0;2
C50_D05;K;<45-54>;201;2;1;2010;0,8;1,4;0,8;3;6
C50_D05;K;<45-54>;201;2;1;2010;0,4;0,8;0,8;0;2
C50_D05;K;<45-54>;201;2;1;2010;0,5;0,95;0,55;0;2
C50_D05;K;<45-54>;201;2;1;2010;1,2;0,4;0,4;0;2
C50_D05;K;<45-54>;201;2;1;2010;0,3;0,45;0,25;0;1
C50_D05;K;<45-54>;201;2;1;2011;1,6;1,3;1,1;0;4
C50_D05;K;<45-54>;201;2;1;2011;1;0;0;0;1
C50_D05;K;<45-54>;201;2;1;2011;0,2;0,5;0,3;0;1
C50_D05;K;<45-54>;201;2;1;2011;0;0;1;0;1
C50_D05;K;<45-54>;201;2;1;2011;0,4;0,8;0,8;0;2
C50_D05;K;<45-54>;201;2;1;2011;0,2;0,4;0,4;0;1
C50_D05;K;<45-54>;201;2;1;2011;0,9;1,2;0,9;0;3
C50_D05;K;<45-54>;201;2;1;2012;0,5;1,3;0,2;0;2
C50_D05;K;<45-54>;201;2;1;2012;1,25;0,95;0,8;0;3
C50_D05;K;<55-64>;201;2;1;2010;2,5;4,05;4,45;0;11
C50_D05;K;<55-64>;201;2;1;2010;1,2;0,4;0,4;0;2
C50_D05;K;<55-64>;201;2;1;2010;0;1;0;0;1
C50_D05;K;<55-64>;201;2;1;2010;0,3;1,45;0,25;0;2
C50_D05;K;<55-64>;201;2;1;2010;0,2;0,5;0,3;0;1
C50_D05;K;<55-64>;201;2;1;2011;3,6;4,8;3,6;3;15
C50_D05;K;<55-64>;201;2;1;2011;0,85;1,1;0,05;0;2
C50_D05;K;<55-64>;201;2;1;2011;0,2;0,5;0,3;0;1
C50_D05;K;<55-64>;201;2;1;2011;0,4;0,75;0,85;0;2
C50_D05;K;<55-64>;201;2;1;2011;0,4;0,8;0,8;0;2
C50_D05;K;<55-64>;201;2;1;2011;0,2;0,4;0,4;0;1
C50_D05;K;<55-64>;201;2;1;2011;0,2;0,4;0,4;0;1
C50_D05;K;<55-64>;201;2;1;2012;0,8;1,8;1,4;0;4
C50_D05;K;<55-64>;201;2;1;2012;0,5;1,95;0,55;0;3
C50_D05;K;<55-64>;201;2;1;2012;1,6;1,9;1,5;0;5
