Kod;Nazwa;³ó¿ka w szpitalach ogólnych
0;POLSKA;181077,00
200000;DOLNOŒL¥SKIE;14126,00
201000;Powiat boles³awiecki;188,00
202000;Powiat dzier¿oniowski;240,00
203000;Powiat g³ogowski;308,00
204000;Powiat górowski;106,00
205000;Powiat jaworski;84,00
206000;Powiat jeleniogórski;726,00
207000;Powiat kamiennogórski;431,00
208000;Powiat k³odzki;810,00
210000;Powiat lubañski;301,00
211000;Powiat lubiñski;718,00
212000;Powiat lwówecki;327,00
213000;Powiat milicki;210,00
214000;Powiat oleœnicki;301,00
215000;Powiat o³awski;263,00
217000;Powiat strzeliñski;121,00
218000;Powiat œredzki;87,00
219000;Powiat œwidnicki;502,00
220000;Powiat trzebnicki;381,00
221000;Powiat wa³brzyski;911,00
222000;Powiat wo³owski;156,00
223000;Powiat wroc³awski;23,00
224000;Powiat z¹bkowicki;101,00
225000;Powiat zgorzelecki;545,00
226000;Powiat z³otoryjski;260,00
261000;Powiat m.Jelenia Góra;558,00
262000;Powiat m.Legnica;665,00
264000;Powiat m.Wroc³aw;4803,00
400000;KUJAWSKO-POMORSKIE;9018,00
401000;Powiat aleksandrowski;217,00
404000;Powiat che³miñski;185,00
405000;Powiat golubsko-dobrzyñski;225,00
406000;Powiat grudzi¹dzki;43,00
407000;Powiat inowroc³awski;561,00
408000;Powiat lipnowski;365,00
409000;Powiat mogileñski;132,00
410000;Powiat nakielski;222,00
411000;Powiat radziejowski;278,00
412000;Powiat rypiñski;176,00
413000;Powiat sêpoleñski;133,00
414000;Powiat œwiecki;307,00
415000;Powiat toruñski;121,00
416000;Powiat tucholski;117,00
417000;Powiat w¹brzeski;128,00
419000;Powiat ¿niñski;170,00
461000;Powiat m.Bydgoszcz;2870,00
462000;Powiat m.Grudzi¹dz;897,00
463000;Powiat m.Toruñ;1211,00
464000;Powiat m.W³oc³awek;660,00
600000;LUBELSKIE;11290,00
601000;Powiat bialski;153,00
602000;Powiat bi³gorajski;338,00
603000;Powiat che³mski;44,00
604000;Powiat hrubieszowski;428,00
605000;Powiat janowski;304,00
606000;Powiat krasnostawski;314,00
607000;Powiat kraœnicki;356,00
608000;Powiat lubartowski;316,00
609000;Powiat lubelski;172,00
610000;Powiat ³êczyñski;123,00
611000;Powiat ³ukowski;539,00
612000;Powiat opolski;367,00
613000;Powiat parczewski;238,00
614000;Powiat pu³awski;656,00
615000;Powiat radzyñski;282,00
616000;Powiat rycki;63,00
617000;Powiat œwidnicki;250,00
618000;Powiat tomaszowski;482,00
619000;Powiat w³odawski;253,00
620000;Powiat zamojski;73,00
661000;Powiat m.Bia³a Podlaska;582,00
662000;Powiat m.Che³m;603,00
663000;Powiat m.Lublin;3591,00
664000;Powiat m.Zamoœæ;763,00
800000;LUBUSKIE;4191,00
801000;Powiat gorzowski;161,00
802000;Powiat kroœnieñski;154,00
803000;Powiat miêdzyrzecki;260,00
804000;Powiat nowosolski;475,00
805000;Powiat s³ubicki;160,00
806000;Powiat strzelecko-drezdenecki;134,00
807000;Powiat sulêciñski;381,00
808000;Powiat œwiebodziñski;206,00
809000;Powiat zielonogórski;222,00
810000;Powiat ¿agañski;79,00
811000;Powiat ¿arski;183,00
812000;Powiat wschowski;87,00
861000;Powiat m.Gorzów Wielkopolski;889,00
862000;Powiat m.Zielona Góra;800,00
1000000;£ÓDZKIE;13533,00
1001000;Powiat be³chatowski;872,00
1002000;Powiat kutnowski;418,00
1003000;Powiat ³aski;319,00
1004000;Powiat ³êczycki;245,00
1005000;Powiat ³owicki;219,00
1006000;Powiat ³ódzki wschodni;292,00
1007000;Powiat opoczyñski;230,00
1008000;Powiat pabianicki;460,00
1009000;Powiat pajêczañski;68,00
1010000;Powiat piotrkowski;28,00
1011000;Powiat poddêbicki;123,00
1012000;Powiat radomszczañski;325,00
1013000;Powiat rawski;166,00
1014000;Powiat sieradzki;786,00
1016000;Powiat tomaszowski;442,00
1017000;Powiat wieluñski;328,00
1018000;Powiat wieruszowski;70,00
1019000;Powiat zduñskowolski;213,00
1020000;Powiat zgierski;925,00
1021000;Powiat brzeziñski;181,00
1061000;Powiat m.£ódŸ;5829,00
1062000;Powiat m.Piotrków Trybunalski;606,00
1063000;Powiat m.Skierniewice;388,00
1200000;MA£OPOLSKIE;14274,00
1201000;Powiat bocheñski;224,00
1202000;Powiat brzeski;290,00
1203000;Powiat chrzanowski;577,00
1204000;Powiat d¹browski;269,00
1205000;Powiat gorlicki;517,00
1206000;Powiat krakowski;342,00
1207000;Powiat limanowski;414,00
1208000;Powiat miechowski;308,00
1209000;Powiat myœlenicki;318,00
1210000;Powiat nowos¹decki;203,00
1211000;Powiat nowotarski;835,00
1212000;Powiat olkuski;520,00
1213000;Powiat oœwiêcimski;507,00
1214000;Powiat proszowicki;274,00
1215000;Powiat suski;413,00
1216000;Powiat tarnowski;116,00
1217000;Powiat tatrzañski;693,00
1218000;Powiat wadowicki;319,00
1219000;Powiat wielicki;10,00
1261000;Powiat m.Kraków;5487,00
1262000;Powiat m.Nowy S¹cz;599,00
1263000;Powiat m.Tarnów;1039,00
1400000;MAZOWIECKIE;24186,00
1402000;Powiat ciechanowski;663,00
1403000;Powiat garwoliñski;288,00
1404000;Powiat gostyniñski;456,00
1405000;Powiat grodziski;337,00
1406000;Powiat grójecki;725,00
1407000;Powiat kozienicki;365,00
1408000;Powiat legionowski;75,00
1409000;Powiat lipski;234,00
1410000;Powiat ³osicki;123,00
1411000;Powiat makowski;211,00
1412000;Powiat miñski;402,00
1413000;Powiat m³awski;174,00
1414000;Powiat nowodworski;159,00
1416000;Powiat ostrowski;231,00
1417000;Powiat otwocki;1133,00
1418000;Powiat piaseczyñski;671,00
1420000;Powiat p³oñski;284,00
