Kod;Nazwa;ogó³em
0000000;POLSKA;216155409
0200000;DOLNOŒL¥SKIE;16343721
0201000;Powiat boles³awiecki;48759
0202000;Powiat dzier¿oniowski;27926
0203000;Powiat g³ogowski;1424531
0204000;Powiat górowski;1207
0205000;Powiat jaworski;28689
0206000;Powiat jeleniogórski;51312
0207000;Powiat kamiennogórski;19967
0208000;Powiat k³odzki;65885
0209000;Powiat legnicki;16904
0210000;Powiat lubañski;23456
0211000;Powiat lubiñski;245463
0212000;Powiat lwówecki;7559
0213000;Powiat milicki;812
0214000;Powiat oleœnicki;41
0215000;Powiat o³awski;40261
0216000;Powiat polkowicki;236475
0217000;Powiat strzeliñski;77201
0218000;Powiat œredzki;62172
0219000;Powiat œwidnicki;168624
0220000;Powiat trzebnicki;393
0221000;Powiat wa³brzyski;335320
0222000;Powiat wo³owski;204406
0223000;Powiat wroc³awski;449602
0224000;Powiat z¹bkowicki;200
0225000;Powiat zgorzelecki;10918340
0226000;Powiat z³otoryjski;28251
0261000;Powiat m.Jelenia Góra;100746
0262000;Powiat m.Legnica;504235
0264000;Powiat m.Wroc³aw;1254984
0400000;KUJAWSKO-POMORSKIE;6998979
0401000;Powiat aleksandrowski;8954
0402000;Powiat brodnicki;26522
0403000;Powiat bydgoski;103542
0404000;Powiat che³miñski;415
0405000;Powiat golubsko-dobrzyñski;11110
0407000;Powiat inowroc³awski;2050841
0408000;Powiat lipnowski;8586
0410000;Powiat nakielski;60400
0411000;Powiat radziejowski;27426
0412000;Powiat rypiñski;43052
0414000;Powiat œwiecki;393059
0415000;Powiat toruñski;67506
0417000;Powiat w¹brzeski;11081
0418000;Powiat w³oc³awski;1230
0419000;Powiat ¿niñski;1352237
0461000;Powiat m.Bydgoszcz;1208906
0462000;Powiat m.Grudzi¹dz;156200
0463000;Powiat m.Toruñ;398562
0464000;Powiat m.W³oc³awek;1069350
0600000;LUBELSKIE;5196066
0601000;Powiat bialski;19284
0602000;Powiat bi³gorajski;24745
0603000;Powiat che³mski;259301
0604000;Powiat hrubieszowski;71302
0605000;Powiat janowski;5446
0606000;Powiat krasnostawski;129786
0607000;Powiat kraœnicki;57996
0608000;Powiat lubartowski;33938
0609000;Powiat lubelski;50407
0610000;Powiat ³êczyñski;61708
0611000;Powiat ³ukowski;55060
0612000;Powiat opolski;25057
0613000;Powiat parczewski;14159
0614000;Powiat pu³awski;1605059
0615000;Powiat radzyñski;38308
0616000;Powiat rycki;49294
0617000;Powiat œwidnicki;81159
0618000;Powiat tomaszowski;10395
0619000;Powiat w³odawski;38436
0620000;Powiat zamojski;48748
0661000;Powiat m.Bia³a Podlaska;73749
0662000;Powiat m.Che³m;1521288
0663000;Powiat m.Lublin;829917
0664000;Powiat m.Zamoœæ;91524
0800000;LUBUSKIE;2080915
0801000;Powiat gorzowski;298431
0802000;Powiat kroœnieñski;50077
0803000;Powiat miêdzyrzecki;41975
0804000;Powiat nowosolski;27658
0805000;Powiat s³ubicki;12900
0806000;Powiat strzelecko-drezdenecki;19378
0807000;Powiat sulêciñski;11731
0808000;Powiat œwiebodziñski;23180
0809000;Powiat zielonogórski;133064
0810000;Powiat ¿agañski;84674
0811000;Powiat ¿arski;354623
0812000;Powiat wschowski;2043
0861000;Powiat m.Gorzów Wielkopolski;462855
0862000;Powiat m.Zielona Góra;558326
1000000;£ÓDZKIE;35704615
1001000;Powiat be³chatowski;30201464
1002000;Powiat kutnowski;122398
1003000;Powiat ³aski;15859
1004000;Powiat ³êczycki;30
1005000;Powiat ³owicki;74604
1006000;Powiat ³ódzki wschodni;16821
1007000;Powiat opoczyñski;188080
1008000;Powiat pabianicki;91978
1009000;Powiat pajêczañski;1176143
1010000;Powiat piotrkowski;11243
1012000;Powiat radomszczañski;93853
1013000;Powiat rawski;6053
1014000;Powiat sieradzki;82505
1015000;Powiat skierniewicki;1844
1016000;Powiat tomaszowski;362257
1017000;Powiat wieluñski;68493
1018000;Powiat wieruszowski;118296
1019000;Powiat zduñskowolski;99143
1020000;Powiat zgierski;174797
1021000;Powiat brzeziñski;10182
1061000;Powiat m.£ódŸ;2576893
1062000;Powiat m.Piotrków Trybunalski;112015
1063000;Powiat m.Skierniewice;99664
1200000;MA£OPOLSKIE;10475801
1201000;Powiat bocheñski;71786
1202000;Powiat brzeski;40289
1203000;Powiat chrzanowski;2292156
1205000;Powiat gorlicki;63040
1206000;Powiat krakowski;1270828
1207000;Powiat limanowski;10111
1208000;Powiat miechowski;18757
1209000;Powiat myœlenicki;18904
1210000;Powiat nowos¹decki;51
1211000;Powiat nowotarski;19211
1212000;Powiat olkuski;240906
1213000;Powiat oœwiêcimski;644144
1215000;Powiat suski;12744
