Kod;Nazwa;udzia³ terenów zieleni w powierzchni ogó³em
0000000;POLSKA;0,18
0200000;DOLNOŒL¥SKIE;0,27
0201000;Powiat boles³awiecki;0,06
0202000;Powiat dzier¿oniowski;0,38
0203000;Powiat g³ogowski;0,42
0204000;Powiat górowski;0,00
0205000;Powiat jaworski;0,19
0206000;Powiat jeleniogórski;0,08
0207000;Powiat kamiennogórski;0,05
0208000;Powiat k³odzki;0,17
0209000;Powiat legnicki;0,13
0210000;Powiat lubañski;0,17
0211000;Powiat lubiñski;0,22
0212000;Powiat lwówecki;0,06
0213000;Powiat milicki;0,11
0214000;Powiat oleœnicki;0,11
0215000;Powiat o³awski;0,24
0216000;Powiat polkowicki;0,31
0217000;Powiat strzeliñski;0,11
0218000;Powiat œredzki;0,08
0219000;Powiat œwidnicki;0,45
0220000;Powiat trzebnicki;0,12
0221000;Powiat wa³brzyski;0,45
0222000;Powiat wo³owski;0,29
0223000;Powiat wroc³awski;0,14
0224000;Powiat z¹bkowicki;0,32
0225000;Powiat zgorzelecki;0,21
0226000;Powiat z³otoryjski;0,09
0261000;Powiat m.Jelenia Góra;1,81
0262000;Powiat m.Legnica;3,51
0264000;Powiat m.Wroc³aw;4,88
0400000;KUJAWSKO-POMORSKIE;0,20
0401000;Powiat aleksandrowski;0,24
0402000;Powiat brodnicki;0,00
0403000;Powiat bydgoski;0,05
0404000;Powiat che³miñski;0,22
0405000;Powiat golubsko-dobrzyñski;0,06
0406000;Powiat grudzi¹dzki;0,00
0407000;Powiat inowroc³awski;0,23
0408000;Powiat lipnowski;0,06
0409000;Powiat mogileñski;0,00
0410000;Powiat nakielski;0,08
0411000;Powiat radziejowski;0,05
0412000;Powiat rypiñski;0,08
0413000;Powiat sêpoleñski;0,07
0414000;Powiat œwiecki;0,07
0415000;Powiat toruñski;0,00
0416000;Powiat tucholski;0,00
0417000;Powiat w¹brzeski;0,00
0418000;Powiat w³oc³awski;0,00
0419000;Powiat ¿niñski;0,12
0461000;Powiat m.Bydgoszcz;7,78
0462000;Powiat m.Grudzi¹dz;5,12
0463000;Powiat m.Toruñ;2,91
0464000;Powiat m.W³oc³awek;1,83
0600000;LUBELSKIE;0,11
0601000;Powiat bialski;0,00
0602000;Powiat bi³gorajski;0,00
0603000;Powiat che³mski;0,06
0604000;Powiat hrubieszowski;0,00
0605000;Powiat janowski;0,00
0606000;Powiat krasnostawski;0,06
0607000;Powiat kraœnicki;0,10
0608000;Powiat lubartowski;0,08
0609000;Powiat lubelski;0,05
0610000;Powiat ³êczyñski;0,19
0611000;Powiat ³ukowski;0,00
0612000;Powiat opolski;0,07
0613000;Powiat parczewski;0,00
0614000;Powiat pu³awski;0,21
0615000;Powiat radzyñski;0,00
0616000;Powiat rycki;0,11
0617000;Powiat œwidnicki;0,42
0618000;Powiat tomaszowski;0,00
0619000;Powiat w³odawski;0,00
0620000;Powiat zamojski;0,00
0661000;Powiat m.Bia³a Podlaska;1,44
0662000;Powiat m.Che³m;4,85
0663000;Powiat m.Lublin;5,90
0664000;Powiat m.Zamoœæ;5,06
0800000;LUBUSKIE;0,14
0801000;Powiat gorzowski;0,10
0802000;Powiat kroœnieñski;0,06
0803000;Powiat miêdzyrzecki;0,07
0804000;Powiat nowosolski;0,18
0805000;Powiat s³ubicki;0,06
0806000;Powiat strzelecko-drezdenecki;0,05
0807000;Powiat sulêciñski;0,10
0808000;Powiat œwiebodziñski;0,08
0809000;Powiat zielonogórski;0,09
0810000;Powiat ¿agañski;0,13
0811000;Powiat ¿arski;0,22
0812000;Powiat wschowski;0,14
0861000;Powiat m.Gorzów Wielkopolski;4,09
0862000;Powiat m.Zielona Góra;2,99
1000000;£ÓDZKIE;0,22
1001000;Powiat be³chatowski;0,20
1002000;Powiat kutnowski;0,21
1003000;Powiat ³aski;0,09
1004000;Powiat ³êczycki;0,09
1005000;Powiat ³owicki;0,00
1006000;Powiat ³ódzki wschodni;0,09
1007000;Powiat opoczyñski;0,00
1008000;Powiat pabianicki;0,38
1009000;Powiat pajêczañski;0,00
1010000;Powiat piotrkowski;0,00
1011000;Powiat poddêbicki;0,08
1012000;Powiat radomszczañski;0,00
1013000;Powiat rawski;0,19
1014000;Powiat sieradzki;0,13
1015000;Powiat skierniewicki;0,00
1016000;Powiat tomaszowski;0,11
1017000;Powiat wieluñski;0,09
1018000;Powiat wieruszowski;0,07
1019000;Powiat zduñskowolski;0,25
1020000;Powiat zgierski;0,22
1021000;Powiat brzeziñski;0,06
1061000;Powiat m.£ódŸ;6,40
1062000;Powiat m.Piotrków Trybunalski;0,94
1063000;Powiat m.Skierniewice;3,85
1200000;MA£OPOLSKIE;0,24
1201000;Powiat bocheñski;0,08
1202000;Powiat brzeski;0,00
1203000;Powiat chrzanowski;0,83
1204000;Powiat d¹browski;0,00
1205000;Powiat gorlicki;0,06
1206000;Powiat krakowski;0,10
1207000;Powiat limanowski;0,00
1208000;Powiat miechowski;0,00
1209000;Powiat myœlenicki;0,00
1210000;Powiat nowos¹decki;0,26
1211000;Powiat nowotarski;0,07
1212000;Powiat olkuski;0,19
1213000;Powiat oœwiêcimski;0,46
1214000;Powiat proszowicki;0,00
1215000;Powiat suski;0,00
1216000;Powiat tarnowski;0,00
1217000;Powiat tatrzañski;0,06
1218000;Powiat wadowicki;0,14
1219000;Powiat wielicki;0,31
1261000;Powiat m.Kraków;4,98
1262000;Powiat m.Nowy S¹cz;1,64
1263000;Powiat m.Tarnów;1,84
1400000;MAZOWIECKIE;0,18
