TERYT_CODE;gender;age;predicted_BRCA_cases
1001;K;<0-44>;4.97966013221502
1001;K;<45-54>;12.8445267700852
1001;K;<55-64>;19.9009734527241
1001;K;<65-74>;10.9184092233161
1001;K;<75-84>;4.08794200217454
1001;K;85+;1.42051127796286
1001;M;<0-44>;0.0113331158086539
1001;M;<45-54>;0.0940314689754222
1001;M;<55-64>;0.451954448184449
1001;M;<65-74>;0.509052853565784
1001;M;<75-84>;0.241493903704834
1001;M;85+;0.0174596902192105
1002;K;<0-44>;5.46680600824842
1002;K;<45-54>;11.0172946493421
1002;K;<55-64>;15.5941768723661
1002;K;<65-74>;11.0699647329437
1002;K;<75-84>;5.67788180596199
1002;K;85+;1.3040392311096
1002;M;<0-44>;0.00417608048242392
1002;M;<45-54>;0.0238036859795733
1002;M;<55-64>;0.507189830352688
1002;M;<65-74>;0.431290465013014
1002;M;<75-84>;0.0872007533893111
1002;M;85+;0.00700045008888655
1003;K;<0-44>;2.2568550445865
1003;K;<45-54>;5.41542865656674
1003;K;<55-64>;7.64821562650715
1003;K;<65-74>;5.03168577478671
1003;K;<75-84>;2.48545186924165
1003;K;85+;0.291109159492737
1003;M;<0-44>;0.00330967124893076
1003;M;<45-54>;0.0441545071588102
1003;M;<55-64>;0.443178265457809
1003;M;<65-74>;0.263893781571151
1003;M;<75-84>;0.0727584310961266
1003;M;85+;0.00353247117401709
1004;K;<0-44>;2.78299527617932
1004;K;<45-54>;5.20431627849077
1004;K;<55-64>;9.68807727086824
1004;K;<65-74>;4.58701420454081
1004;K;<75-84>;2.41383328696336
1004;K;85+;0.579816866260026
1004;M;<0-44>;0.00596718821758243
1004;M;<45-54>;0.0670030869638284
1004;M;<55-64>;0.252732024023036
1004;M;<65-74>;0.168472311918559
1004;M;<75-84>;0.147922788301401
1004;M;85+;0.0110577819803582
1005;K;<0-44>;3.24398958919546
1005;K;<45-54>;7.51225303109334
1005;K;<55-64>;11.2203886630815
1005;K;<65-74>;6.51792624955264
1005;K;<75-84>;3.76796432864172
1005;K;85+;0.717592773958837
1005;M;<0-44>;0.0143222637650298
1005;M;<45-54>;0.091719276308879
1005;M;<55-64>;0.205810924227693
1005;M;<65-74>;0.181533268504367
1005;M;<75-84>;0.154491394814265
1005;M;85+;0.0165329728403122
1006;K;<0-44>;2.56853394712326
1006;K;<45-54>;6.37701344697467
1006;K;<55-64>;9.73178744441808
1006;K;<65-74>;6.94079287859455
1006;K;<75-84>;3.02732428966178
1006;K;85+;0.591346543577196
1006;M;<0-44>;0.141847644304944
1006;M;<45-54>;0.160174734064968
1006;M;<55-64>;0.243511359022386
1006;M;<65-74>;0.279886727409534
1006;M;<75-84>;0.208634088113116
1006;M;85+;0.0124612405181631
1007;K;<0-44>;4.24603911105399
1007;K;<45-54>;5.95672241749451
1007;K;<55-64>;9.93944473654429
1007;K;<65-74>;6.10081482020926
1007;K;<75-84>;3.94128707068736
1007;K;85+;0.880627172456516
1007;M;<0-44>;0.00605059587473104
1007;M;<45-54>;0.0650599559733961
1007;M;<55-64>;0.280651241858566
1007;M;<65-74>;0.282826956374347
1007;M;<75-84>;0.147906517496095
1007;M;85+;0.0176247848070594
1008;K;<0-44>;6.70841231643924
1008;K;<45-54>;12.7843635536232
1008;K;<55-64>;20.8625175426871
1008;K;<65-74>;15.6419960453885
1008;K;<75-84>;6.00536129080644
1008;K;85+;1.56726438470318
1008;M;<0-44>;0.0623461653837445
1008;M;<45-54>;0.268170116307181
1008;M;<55-64>;0.788153966690858
1008;M;<65-74>;0.957925624108699
1008;M;<75-84>;0.332827118141305
1008;M;85+;0.045109502709983
1009;K;<0-44>;2.5697021889152
1009;K;<45-54>;4.42718047561957
1009;K;<55-64>;5.5578094421207
1009;K;<65-74>;5.22384832689001
1009;K;<75-84>;3.05954860752518
1009;K;85+;1.06061599970147
1009;M;<0-44>;0.00663732456875944
1009;M;<45-54>;0.0644435680662721
1009;M;<55-64>;0.767680657074231
1009;M;<65-74>;0.325601686065794
1009;M;<75-84>;0.590037382353212
1009;M;85+;0.0125031292094766
1010;K;<0-44>;4.79835115487773
1010;K;<45-54>;10.0040498037877
1010;K;<55-64>;11.2562285025008
1010;K;<65-74>;5.68527042232871
1010;K;<75-84>;3.79141259541344
1010;K;85+;0.96242210323919
1010;M;<0-44>;0.129885777106427
1010;M;<45-54>;0.0997187283195927
1010;M;<55-64>;0.625110370184903
1010;M;<65-74>;0.174652257398841
1010;M;<75-84>;0.126747293741598
1010;M;85+;0.0144202147204614
1011;K;<0-44>;3.01139480804968
1011;K;<45-54>;4.56902955298374
1011;K;<55-64>;5.06051016721134
1011;K;<65-74>;4.40273525092823
1011;K;<75-84>;2.18880559906257
1011;K;85+;0.969291241178202
1011;M;<0-44>;0.00163784096782192
1011;M;<45-54>;0.0407891968456046
1011;M;<55-64>;0.175676400252431
1011;M;<65-74>;0.134222357000858
1011;M;<75-84>;0.134034447863161
1011;M;85+;0.00303206616402634
1012;K;<0-44>;4.60180531172266
1012;K;<45-54>;12.0519002831583
1012;K;<55-64>;17.9534852197279
1012;K;<65-74>;12.2579593014409
1012;K;<75-84>;5.76396217852441
1012;K;85+;1.06482156354856
1012;M;<0-44>;0.185402356679407
1012;M;<45-54>;0.244888979926303
1012;M;<55-64>;0.408645789966025
1012;M;<65-74>;0.435634202837891
1012;M;<75-84>;0.243848425767327
1012;M;85+;0.0618247246254132
1013;K;<0-44>;1.84143321126061
1013;K;<45-54>;4.65893007210149
1013;K;<55-64>;5.90988107892823
1013;K;<65-74>;3.92897881345725
1013;K;<75-84>;2.18745380392417
1013;K;85+;0.611709146063411
1013;M;<0-44>;0.0173720141859323
1013;M;<45-54>;0.0488520058875925
1013;M;<55-64>;0.107074440075204
1013;M;<65-74>;0.146740395648318
1013;M;<75-84>;0.083605532670708
1013;M;85+;0.00483032296897975
1014;K;<0-44>;6.48001747855738
1014;K;<45-54>;11.9627875058465
1014;K;<55-64>;16.3528103228609
1014;K;<65-74>;12.2723665039166
1014;K;<75-84>;5.72026302895787
1014;K;85+;1.62557991939417
1014;M;<0-44>;0.0930940959551622
1014;M;<45-54>;0.335107093391674
1014;M;<55-64>;0.24594921654583
1014;M;<65-74>;0.30567993438365
1014;M;<75-84>;0.309137500820573
1014;M;85+;0.1653628499126
1015;K;<0-44>;1.79687041571463
1015;K;<45-54>;3.08490955313016
1015;K;<55-64>;4.35466002057116
1015;K;<65-74>;2.72391085754835
1015;K;<75-84>;2.40616920804902
1015;K;85+;0.675539711525277
1015;M;<0-44>;0.0589957589403458
1015;M;<45-54>;0.100490394950963
1015;M;<55-64>;0.141277061004568
1015;M;<65-74>;0.137829162082829
1015;M;<75-84>;0.532801514980437
1015;M;85+;0.0540911181063129
1016;K;<0-44>;6.66215291432831
1016;K;<45-54>;13.0603476599474
1016;K;<55-64>;17.5065815464222
1016;K;<65-74>;9.3811481753981
1016;K;<75-84>;6.97628219312212
1016;K;85+;0.958355348730416
1016;M;<0-44>;0.0157955098644539
1016;M;<45-54>;0.0325209322477341
1016;M;<55-64>;0.850851605794205
1016;M;<65-74>;0.781409404220918
1016;M;<75-84>;0.12111634627771
1016;M;85+;0.0239633467901261
1017;K;<0-44>;3.72227368200752
1017;K;<45-54>;7.77393775580417
1017;K;<55-64>;11.1135315186645
1017;K;<65-74>;6.52663272061157
1017;K;<75-84>;4.18758846057728
1017;K;85+;1.06565182601473
1017;M;<0-44>;0.00767962868814936
1017;M;<45-54>;0.0537220042639431
1017;M;<55-64>;0.221900933968429
1017;M;<65-74>;0.624797607778836
1017;M;<75-84>;0.138413880349455
1017;M;85+;0.0087136717512554
1018;K;<0-44>;2.20148593286919
1018;K;<45-54>;3.37077649846502
1018;K;<55-64>;3.38492020098628
1018;K;<65-74>;3.19924798144862
1018;K;<75-84>;1.94984582885909
1018;K;85+;0.264893445703302
1018;M;<0-44>;0.00471333823115895
1018;M;<45-54>;0.070694095737566
1018;M;<55-64>;0.0814606163030256
1018;M;<65-74>;0.0842290101113676
1018;M;<75-84>;0.0470560167525364
1018;M;85+;0.00289349089268945
1019;K;<0-44>;3.73084213107801
1019;K;<45-54>;7.41863726511962
1019;K;<55-64>;12.7633860372063
1019;K;<65-74>;7.33637778979013
1019;K;<75-84>;5.73007353538262
1019;K;85+;0.832265320404983
1019;M;<0-44>;0.0191549867436014
1019;M;<45-54>;0.0898150785057998
1019;M;<55-64>;0.143858757140291
1019;M;<65-74>;0.202216300219719
1019;M;<75-84>;0.0980559527892436
1019;M;85+;0.0132760516123842
1020;K;<0-44>;9.54433454168909
1020;K;<45-54>;17.2051451639035
1020;K;<55-64>;29.808407545014
1020;K;<65-74>;17.8133750854137
1020;K;<75-84>;8.80214544701574
1020;K;85+;2.39389560715132
1020;M;<0-44>;0.0837621861854759
1020;M;<45-54>;0.338584993776706
1020;M;<55-64>;0.871245835051037
1020;M;<65-74>;1.19298286367904
1020;M;<75-84>;0.396354368314535
1020;M;85+;0.0714882732664375
1021;K;<0-44>;1.07962501482536
1021;K;<45-54>;3.29445099980988
1021;K;<55-64>;3.84466926126599
1021;K;<65-74>;3.24542369639809
1021;K;<75-84>;1.50343710851225
1021;K;85+;0.416937094010708
1021;M;<0-44>;0.004556061932867
1021;M;<45-54>;0.0156751581990279
1021;M;<55-64>;0.0700200047902639
1021;M;<65-74>;0.114784382895849
1021;M;<75-84>;0.0698835555682336
1021;M;85+;0.00237914864619297
1061;K;<0-44>;40.2882920540178
1061;K;<45-54>;81.1579735815909
1061;K;<55-64>;174.38444236206
1061;K;<65-74>;101.700446906964
1061;K;<75-84>;64.6483696640369
1061;K;85+;16.4290816497991
1061;M;<0-44>;0.230707790208078
1061;M;<45-54>;0.539018721723897
1061;M;<55-64>;4.40101505403303
1061;M;<65-74>;4.15094720650195
1061;M;<75-84>;3.35145896822185
1061;M;85+;0.66771627373504
1062;K;<0-44>;4.04882451426916
1062;K;<45-54>;9.70376049227807
1062;K;<55-64>;14.5287885039225
1062;K;<65-74>;9.80508415850569
1062;K;<75-84>;4.91919205247529
1062;K;85+;1.12089866228658
1062;M;<0-44>;0.00766020448130805
1062;M;<45-54>;0.0281921942355592
1062;M;<55-64>;0.275476750395846
1062;M;<65-74>;0.388174733409322
1062;M;<75-84>;0.128980660665763
1062;M;85+;0.0131597859889326
1063;K;<0-44>;1.97750860450024
1063;K;<45-54>;5.87749950797722
1063;K;<55-64>;8.98186840433615
1063;K;<65-74>;5.17776476748148
1063;K;<75-84>;2.41315896563256
1063;K;85+;0.413872566797559
1063;M;<0-44>;0.0471001466150753
1063;M;<45-54>;0.0324483942923204
1063;M;<55-64>;0.378739087282976
1063;M;<65-74>;0.0994249221999528
1063;M;<75-84>;0.0641464652127432
1063;M;85+;0.057483258203333
1201;K;<0-44>;5.95981937501425
