"","TERYT_CODE","gender","age","predicted_BRCA_cases"
"1","1001","K","<0-44>",4.97966013221502
"2","1001","K","<45-54>",12.8445267700852
"3","1001","K","<55-64>",19.9009734527241
"4","1001","K","<65-74>",10.9184092233161
"5","1001","K","<75-84>",4.08794200217454
"6","1001","K","85+",1.42051127796286
"7","1001","M","<0-44>",0.0113331158086539
"8","1001","M","<45-54>",0.0940314689754222
"9","1001","M","<55-64>",0.451954448184449
"10","1001","M","<65-74>",0.509052853565784
"11","1001","M","<75-84>",0.241493903704834
"12","1001","M","85+",0.0174596902192105
"13","1002","K","<0-44>",5.46680600824842
"14","1002","K","<45-54>",11.0172946493421
"15","1002","K","<55-64>",15.5941768723661
"16","1002","K","<65-74>",11.0699647329437
"17","1002","K","<75-84>",5.67788180596199
"18","1002","K","85+",1.3040392311096
"19","1002","M","<0-44>",0.00417608048242392
"20","1002","M","<45-54>",0.0238036859795733
"21","1002","M","<55-64>",0.507189830352688
"22","1002","M","<65-74>",0.431290465013014
"23","1002","M","<75-84>",0.0872007533893111
"24","1002","M","85+",0.00700045008888655
"25","1003","K","<0-44>",2.2568550445865
"26","1003","K","<45-54>",5.41542865656674
"27","1003","K","<55-64>",7.64821562650715
"28","1003","K","<65-74>",5.03168577478671
"29","1003","K","<75-84>",2.48545186924165
"30","1003","K","85+",0.291109159492737
"31","1003","M","<0-44>",0.00330967124893076
"32","1003","M","<45-54>",0.0441545071588102
"33","1003","M","<55-64>",0.443178265457809
"34","1003","M","<65-74>",0.263893781571151
"35","1003","M","<75-84>",0.0727584310961266
"36","1003","M","85+",0.00353247117401709
"37","1004","K","<0-44>",2.78299527617932
"38","1004","K","<45-54>",5.20431627849077
"39","1004","K","<55-64>",9.68807727086824
"40","1004","K","<65-74>",4.58701420454081
"41","1004","K","<75-84>",2.41383328696336
"42","1004","K","85+",0.579816866260026
"43","1004","M","<0-44>",0.00596718821758243
"44","1004","M","<45-54>",0.0670030869638284
"45","1004","M","<55-64>",0.252732024023036
"46","1004","M","<65-74>",0.168472311918559
"47","1004","M","<75-84>",0.147922788301401
"48","1004","M","85+",0.0110577819803582
"49","1005","K","<0-44>",3.24398958919546
"50","1005","K","<45-54>",7.51225303109334
"51","1005","K","<55-64>",11.2203886630815
"52","1005","K","<65-74>",6.51792624955264
"53","1005","K","<75-84>",3.76796432864172
"54","1005","K","85+",0.717592773958837
"55","1005","M","<0-44>",0.0143222637650298
"56","1005","M","<45-54>",0.091719276308879
"57","1005","M","<55-64>",0.205810924227693
"58","1005","M","<65-74>",0.181533268504367
"59","1005","M","<75-84>",0.154491394814265
"60","1005","M","85+",0.0165329728403122
"61","1006","K","<0-44>",2.56853394712326
"62","1006","K","<45-54>",6.37701344697467
"63","1006","K","<55-64>",9.73178744441808
"64","1006","K","<65-74>",6.94079287859455
"65","1006","K","<75-84>",3.02732428966178
"66","1006","K","85+",0.591346543577196
"67","1006","M","<0-44>",0.141847644304944
"68","1006","M","<45-54>",0.160174734064968
"69","1006","M","<55-64>",0.243511359022386
"70","1006","M","<65-74>",0.279886727409534
"71","1006","M","<75-84>",0.208634088113116
"72","1006","M","85+",0.0124612405181631
"73","1007","K","<0-44>",4.24603911105399
"74","1007","K","<45-54>",5.95672241749451
"75","1007","K","<55-64>",9.93944473654429
"76","1007","K","<65-74>",6.10081482020926
"77","1007","K","<75-84>",3.94128707068736
"78","1007","K","85+",0.880627172456516
"79","1007","M","<0-44>",0.00605059587473104
"80","1007","M","<45-54>",0.0650599559733961
"81","1007","M","<55-64>",0.280651241858566
"82","1007","M","<65-74>",0.282826956374347
"83","1007","M","<75-84>",0.147906517496095
"84","1007","M","85+",0.0176247848070594
"85","1008","K","<0-44>",6.70841231643924
"86","1008","K","<45-54>",12.7843635536232
"87","1008","K","<55-64>",20.8625175426871
"88","1008","K","<65-74>",15.6419960453885
"89","1008","K","<75-84>",6.00536129080644
"90","1008","K","85+",1.56726438470318
"91","1008","M","<0-44>",0.0623461653837445
"92","1008","M","<45-54>",0.268170116307181
"93","1008","M","<55-64>",0.788153966690858
"94","1008","M","<65-74>",0.957925624108699
"95","1008","M","<75-84>",0.332827118141305
"96","1008","M","85+",0.045109502709983
"97","1009","K","<0-44>",2.5697021889152
"98","1009","K","<45-54>",4.42718047561957
"99","1009","K","<55-64>",5.5578094421207
"100","1009","K","<65-74>",5.22384832689001
"101","1009","K","<75-84>",3.05954860752518
"102","1009","K","85+",1.06061599970147
