TERYT4;GENDER;AGE_GROUP;predicted_BRCA_cases
2604;K;<0-44>;9.01965527885248
605;K;<0-44>;2.62904429542578
1820;K;<0-44>;2.53937482172415
611;K;<0-44>;5.31596775054976
406;K;<0-44>;1.73332878740549
602;K;<0-44>;4.57136987345429
801;K;<0-44>;3.88327609355432
603;K;<0-44>;4.13436869246927
1423;K;<0-44>;1.89598941089988
2813;K;<0-44>;1.3596924580966
1429;K;<0-44>;2.40140455157978
1410;K;<0-44>;1.98870639547362
1411;K;<0-44>;2.38652288195272
1602;K;<0-44>;2.4271151440277
1611;K;<0-44>;3.62779440195647
206;K;<0-44>;3.06183273634534
3008;K;<0-44>;0
404;K;<0-44>;2.97559651230115
203;K;<0-44>;4.24517282823359
1419;K;<0-44>;5.18747173958057
1424;K;<0-44>;2.25665015604317
2606;K;<0-44>;2.13497710573796
1606;K;<0-44>;2.07501483534279
2802;K;<0-44>;1.61141660344073
2213;K;<0-44>;5.8341636064427
1422;K;<0-44>;2.30102839631573
805;K;<0-44>;2.66155931410143
2204;K;<0-44>;4.60502001141968
414;K;<0-44>;5.15002068261981
1821;K;<0-44>;0
606;K;<0-44>;2.89882189978362
224;K;<0-44>;3.31174157274777
202;K;<0-44>;5.09455623556224
806;K;<0-44>;3.31551674014597
1432;K;<0-44>;6.57426928171597
205;K;<0-44>;2.51756939737149
3204;K;<0-44>;3.9906060624767
2470;K;<0-44>;3.75567554944405
2468;K;<0-44>;4.65798427537578
1405;K;<0-44>;5.32341227867433
861;K;<0-44>;7.4844485710155
2465;K;<0-44>;3.62499596269522
662;K;<0-44>;3.8142111452829
264;K;<0-44>;43.8634102278534
2474;K;<0-44>;5.18456893049211
3064;K;<0-44>;40.222804545461
3062;K;<0-44>;4.40753786124754
2604;K;<45-54>;19.235348175233
605;K;<45-54>;4.76050307680409
1820;K;<45-54>;5.32039843590495
611;K;<45-54>;9.99327275882752
406;K;<45-54>;3.92806146840678
602;K;<45-54>;10.4784340009783
801;K;<45-54>;6.29735502235042
603;K;<45-54>;7.98672537166445
1423;K;<45-54>;3.8488998289028
2813;K;<45-54>;2.972435315476
1429;K;<45-54>;5.41460556022218
1410;K;<45-54>;3.30620336900056
1411;K;<45-54>;4.83600752696364
1602;K;<45-54>;4.77307662159649
1611;K;<45-54>;7.36644459291005
206;K;<45-54>;6.0024652097934
3008;K;<45-54>;6.77967139746199
404;K;<45-54>;4.81610730920873
203;K;<45-54>;8.07003486009311
1419;K;<45-54>;11.0462476359861
1424;K;<45-54>;6.00918230876044
2606;K;<45-54>;5.63642755222461
1606;K;<45-54>;4.05303101540276
2802;K;<45-54>;3.53416352938154
2213;K;<45-54>;12.2370673862852
1422;K;<45-54>;5.03240931697612
805;K;<45-54>;5.53681175499652
2204;K;<45-54>;10.7536835269238
414;K;<45-54>;9.3306390116851
1821;K;<45-54>;2.35930822714838
606;K;<45-54>;6.75456817043913
224;K;<45-54>;5.97206666861093
202;K;<45-54>;10.2871656041901
806;K;<45-54>;4.87058756895508
1432;K;<45-54>;11.7289142866799
205;K;<45-54>;6.29735452311089
3204;K;<45-54>;9.0481349634394
2470;K;<45-54>;8.11644617472568
2468;K;<45-54>;9.76084267249764
1405;K;<45-54>;9.5562005690544
861;K;<45-54>;14.8392986724513
2465;K;<45-54>;11.0574008818345
662;K;<45-54>;6.80498808300609
264;K;<45-54>;75.2603553937971
2474;K;<45-54>;9.02083402342776
3064;K;<45-54>;70.3494977080836
3062;K;<45-54>;7.53443491694893
2604;K;<55-64>;27.5761041263312
605;K;<55-64>;5.74076114648559
1820;K;<55-64>;8.52264160487315
611;K;<55-64>;15.8922817893408
406;K;<55-64>;5.72363581026932
602;K;<55-64>;14.574717634518
801;K;<55-64>;9.77505099940235
603;K;<55-64>;11.5872180075373
1423;K;<55-64>;6.11172782083621
2813;K;<55-64>;4.93114433198985
1429;K;<55-64>;8.13103472668023
1410;K;<55-64>;4.81103361513447
1411;K;<55-64>;6.31742676615113
1602;K;<55-64>;7.6293347705458
1611;K;<55-64>;11.2320150816897
206;K;<55-64>;8.60064947027689
3008;K;<55-64>;8.82698763225983
404;K;<55-64>;7.43768390437865
203;K;<55-64>;13.3191275595421
