TERYT4;GENDER;AGE_GROUP;PREDICTED_CASES
201;K;<0-44>;4.534116266
201;K;<45-54>;9.062053
201;K;<55-64>;15.62031714
201;K;<65-74>;8.832189155
201;K;<75-84>;5.385050637
201;K;85+;1.277183343
201;M;<0-44>;0.90022036
201;M;<45-54>;0.947330051
201;M;<55-64>;1.551546201
201;M;<65-74>;1.49951449
201;M;<75-84>;1.0924688
201;M;85+;0.416868242
202;K;<0-44>;4.62682965
202;K;<45-54>;10.3040207
202;K;<55-64>;18.75337287
202;K;<65-74>;10.45271335
202;K;<75-84>;7.541784356
202;K;85+;2.475336812
202;M;<0-44>;0.943288716
202;M;<45-54>;1.084109841
202;M;<55-64>;1.897906479
202;M;<65-74>;1.838687322
202;M;<75-84>;1.393367741
202;M;85+;0.800802298
203;K;<0-44>;4.518591394
203;K;<45-54>;8.446200534
203;K;<55-64>;17.2015094
203;K;<65-74>;8.459144484
203;K;<75-84>;3.735975758
203;K;85+;1.106893565
203;M;<0-44>;0.846861435
203;M;<45-54>;0.771203722
203;M;<55-64>;1.612129956
203;M;<65-74>;1.630838619
203;M;<75-84>;0.759154526
203;M;85+;0.292749929
204;K;<0-44>;1.829079436
204;K;<45-54>;3.474806956
204;K;<55-64>;5.605397372
204;K;<65-74>;3.036301149
204;K;<75-84>;2.062718137
204;K;85+;0.704826462
204;M;<0-44>;0.396523086
204;M;<45-54>;0.400969639
204;M;<55-64>;0.677694019
204;M;<65-74>;0.6676119
204;M;<75-84>;0.431668327
204;M;85+;0.201193905
205;K;<0-44>;2.504071635
205;K;<45-54>;5.332373453
205;K;<55-64>;9.192233776
205;K;<65-74>;4.66378258
205;K;<75-84>;3.092277971
205;K;85+;1.157445952
205;M;<0-44>;0.553353628
205;M;<45-54>;0.601655733
205;M;<55-64>;1.083528887
205;M;<65-74>;0.99986367
205;M;<75-84>;0.679291095
205;M;85+;0.35078036
206;K;<0-44>;3.14967023
206;K;<45-54>;6.807436625
206;K;<55-64>;13.16526218
206;K;<65-74>;5.935794109
206;K;<75-84>;3.943899659
206;K;85+;1.506939956
206;M;<0-44>;0.652804552
206;M;<45-54>;0.708660409
206;M;<55-64>;1.392331688
206;M;<65-74>;1.231942691
206;M;<75-84>;0.7447814
206;M;85+;0.398999081
207;K;<0-44>;2.09730009
207;K;<45-54>;4.577712225
207;K;<55-64>;7.935739733
207;K;<65-74>;4.449383096
207;K;<75-84>;2.927436657
207;K;85+;1.081875913
207;M;<0-44>;0.473977017
207;M;<45-54>;0.537831663
207;M;<55-64>;0.896055918
207;M;<65-74>;0.838495257
207;M;<75-84>;0.559345066
207;M;85+;0.314482857
208;K;<0-44>;6.994305633
208;K;<45-54>;15.50742004
208;K;<55-64>;28.68141823
208;K;<65-74>;16.65394321
208;K;<75-84>;10.37333254
208;K;85+;3.191251206
208;M;<0-44>;1.414657251
208;M;<45-54>;1.616852572
208;M;<55-64>;2.906957578
208;M;<65-74>;2.957909413
208;M;<75-84>;2.120913359
208;M;85+;0.950024654
209;K;<0-44>;2.704405542
209;K;<45-54>;5.637516839
209;K;<55-64>;9.188507288
209;K;<65-74>;4.713296259
209;K;<75-84>;3.241641011
209;K;85+;0.99853093
209;M;<0-44>;0.554702367
209;M;<45-54>;0.581354454
209;M;<55-64>;1.02145941
209;M;<65-74>;0.865184676
209;M;<75-84>;0.616652946
209;M;85+;0.319378971
210;K;<0-44>;2.736011086
210;K;<45-54>;5.453085788
210;K;<55-64>;10.63776801
210;K;<65-74>;5.446709362
210;K;<75-84>;3.517823965
210;K;85+;1.156797619
210;M;<0-44>;0.608281741
210;M;<45-54>;0.63624682
210;M;<55-64>;1.164913937
210;M;<65-74>;1.082696127
210;M;<75-84>;0.676318034
210;M;85+;0.323311683
211;K;<0-44>;6.18262416
211;K;<45-54>;12.03181193
211;K;<55-64>;24.09563384
211;K;<65-74>;13.55351409
211;K;<75-84>;6.101059009
211;K;85+;1.417280063
211;M;<0-44>;0.219370254
211;M;<45-54>;0.216476164
211;M;<55-64>;0.413421822
211;M;<65-74>;0.482274739
211;M;<75-84>;0.271178779
211;M;85+;0.094065353
212;K;<0-44>;2.33879247
212;K;<45-54>;4.758314984
212;K;<55-64>;8.753743689
212;K;<65-74>;4.329319479
212;K;<75-84>;2.859622795
212;K;85+;1.050050217
212;M;<0-44>;0.493982557
212;M;<45-54>;0.551764036
212;M;<55-64>;0.982084416
212;M;<65-74>;0.855681186
212;M;<75-84>;0.54028301
212;M;85+;0.288853916
213;K;<0-44>;1.876405313
213;K;<45-54>;3.362612776
213;K;<55-64>;6.00253938
213;K;<65-74>;3.390248374
213;K;<75-84>;1.839305841
213;K;85+;0.670531229
213;M;<0-44>;0.439780355
213;M;<45-54>;0.412124514
213;M;<55-64>;0.734371593
213;M;<65-74>;0.752309179
